var,value_type,dataset_id,var_label
CHARGE,double,AZ_SID_2015q1q3_CHGS,Line item charges (as received from source)
CHARGE,double,AZ_SID_2015q1q3_CHGS,Line item charges (as received from source)
KEY,double,AZ_SID_2015q1q3_CHGS,HCUP record identifier
AGE,int32,AZ_SID_2015q1q3_CORE,Age in years at admission
AGEDAY,int32,AZ_SID_2015q1q3_CORE,Age in days (when age < 1 year)
AGEMONTH,int32,AZ_SID_2015q1q3_CORE,Age in months (when age < 11 years)
AHOUR,int32,AZ_SID_2015q1q3_CORE,Admission Hour
AMONTH,int32,AZ_SID_2015q1q3_CORE,Admission month
ATYPE,int32,AZ_SID_2015q1q3_CORE,Admission type
AWEEKEND,int32,AZ_SID_2015q1q3_CORE,Admission day is a weekend
AYEAR,int32,AZ_SID_2015q1q3_CORE,Admission year
BWT,int32,AZ_SID_2015q1q3_CORE,Birth weight in grams
DHOUR,int32,AZ_SID_2015q1q3_CORE,Discharge Hour
DIED,int32,AZ_SID_2015q1q3_CORE,Died during hospitalization
DISPUB04,int32,AZ_SID_2015q1q3_CORE,Disposition of patient (UB-04 standard coding)
DISPUNIFORM,int32,AZ_SID_2015q1q3_CORE,Disposition of patient (uniform)
DISP_X,string,AZ_SID_2015q1q3_CORE,Disposition of patient (as received from source)
DMONTH,int32,AZ_SID_2015q1q3_CORE,Discharge month
DNR,int32,AZ_SID_2015q1q3_CORE,Do not resuscitate indicator
DQTR,int32,AZ_SID_2015q1q3_CORE,Discharge quarter
DRG,int32,AZ_SID_2015q1q3_CORE,DRG in effect on discharge date
DRG32,int32,AZ_SID_2015q1q3_CORE,"DRG, version 32"
DRGVER,int32,AZ_SID_2015q1q3_CORE,DRG grouper version used on discharge date
DRG_NoPOA,int32,AZ_SID_2015q1q3_CORE,"DRG in use on discharge date, calculated without POA"
DSHOSPID,string,AZ_SID_2015q1q3_CORE,Data source hospital identifier
DX1,string,AZ_SID_2015q1q3_CORE,Diagnosis 1
DX10,string,AZ_SID_2015q1q3_CORE,Diagnosis 10
DX11,string,AZ_SID_2015q1q3_CORE,Diagnosis 11
DX12,string,AZ_SID_2015q1q3_CORE,Diagnosis 12
DX13,string,AZ_SID_2015q1q3_CORE,Diagnosis 13
DX14,string,AZ_SID_2015q1q3_CORE,Diagnosis 14
DX15,string,AZ_SID_2015q1q3_CORE,Diagnosis 15
DX16,string,AZ_SID_2015q1q3_CORE,Diagnosis 16
DX17,string,AZ_SID_2015q1q3_CORE,Diagnosis 17
DX18,string,AZ_SID_2015q1q3_CORE,Diagnosis 18
DX19,string,AZ_SID_2015q1q3_CORE,Diagnosis 19
DX2,string,AZ_SID_2015q1q3_CORE,Diagnosis 2
DX20,string,AZ_SID_2015q1q3_CORE,Diagnosis 20
DX21,string,AZ_SID_2015q1q3_CORE,Diagnosis 21
DX22,string,AZ_SID_2015q1q3_CORE,Diagnosis 22
DX23,string,AZ_SID_2015q1q3_CORE,Diagnosis 23
DX24,string,AZ_SID_2015q1q3_CORE,Diagnosis 24
DX25,string,AZ_SID_2015q1q3_CORE,Diagnosis 25
DX3,string,AZ_SID_2015q1q3_CORE,Diagnosis 3
DX4,string,AZ_SID_2015q1q3_CORE,Diagnosis 4
DX5,string,AZ_SID_2015q1q3_CORE,Diagnosis 5
DX6,string,AZ_SID_2015q1q3_CORE,Diagnosis 6
DX7,string,AZ_SID_2015q1q3_CORE,Diagnosis 7
DX8,string,AZ_SID_2015q1q3_CORE,Diagnosis 8
